SName,Lyric,Artist,Songs,Popularity,Genre,Genres
Embrulho,"Quando ela chegou no paraíso. Sentiu falta do sofrer. Sem cabimento não sai da cabeça. Como é que o embrulho. É melhor que o presente. Sem cabimento não sai da cabeça. Como é que o embrulho. É melhor que o presente. Dá meia volta, volta. Só rebobina aí. Dá meia volta, volta. Só rebobina. A gente briga pelo que a gente quer. Mas o destino final. Não é, não é, não é. A jornada é o que nos faz viver. Quem ainda não se jogou. Tá esperando o que. Sem cabimento não sai da cabeça. Como é que o embrulho. É melhor que o presente. Quando ela chegou no céu querendo estar no chão. Dá meia volta volta,. Só rebobina aê. Dá meia volta volta,. Só rebobina. A gente briga pelo que a gente quer. Mas o destino final. Não é, não é, não é. A jornada é o que nos faz viver. Quem ainda não se jogou. Tá esperando o que. A jornada é o que nos faz viver. A jornada é o que nos faz crescer. Quem ainda não se jogou me diz. Quem ainda não se jogou espera o quê (omi) (2x). O quê, omi. O quê, omi",Supercombo,66,2.2,Rock,Pop/Rock; Rock; Indie; Rock Alternativo; Emocore; MPB; Pop/Punk; Pop; Folk; Funk; Heavy Metal; Grunge; Hard Rock; Blues; Axé; Gótico; Hardcore; Jazz; J-Pop/J-Rock; Industrial; Romântico; Gospel/Religioso; Power-Pop; Forró; Hip Hop; Progressivo; World Music; Psicodelia; House; K-Pop/K-Rock
Depois da Bebida,"O nosso amor se foi pelas diferenças. Não fez sentido, juntos por aparências. Eu não cuidei da flor mais linda do meu jardim. Esse descuido tirou você de mim. O meu caminho é o sol no fim dessa estrada. A lua e o céu de estrelas quando é madrugada. Mas o que eu faço com a liberdade. Que ficou comigo?. Eu já tentei me encontrar. Por aí mas sei não consigo. É fácil sair. Fugir por uns momentos da realidade. Mas depois da bebida. Vem o desespero e a dor da saudade. Eu não cuidei da flor mais linda do meu jardim. Esse descuido tirou você de mim. O meu caminho é o sol no fim dessa estrada. A lua e o céu de estrelas quando é madrugada. Mas o que eu faço. Com a liberdade que ficou comigo?. Eu já tentei me encontrar. Por aí mas sei não consigo. É fácil sair. Fugir por uns momentos da realidade. Mas depois da bebida. Vem o desespero e a dor da saudade",Rionegro & Solimões,252,3,Sertanejo,Sertanejo
"Te Picoto Na Faca, corto Teu Cabelo","Eu não vou mais te mandar recado. Tô vindo te avisar pessoalmente. não era briga que tu queria?. Então agora a chapa vai ficar quente. Sua recalcada tu brincou com a sorte. A minha paciencia já se esgotou. Vou transformar tua vida num inferno. Toma cuidado seu terror chegou. Se tiver que passar,passa longe de mim. Vou te avisar só uma vez. Te picoto na faca,corto teu cabelo. Dou-lhe uma coça de perna de três.. Te picoto na faca,corto teu cabelo. Dou-lhe uma coça de perna de três.. Se tiver que passar,passa longe de mim. Vou te avisar só uma vez. Te picoto na faca,corto teu cabelo. Dou-lhe uma coça de perna de três.. Deixo o teu corpo arriado no chão. Ainda por cima te rasgo na bala. Pra tua familia te reconhecer. Vai ser só por exame de arcarda dentária. (a porrada vai comer). (agora é só nós dois)",Mc Marcelly,76,1.9,Sertanejo,Funk Carioca; Sertanejo; Axé; Pagode; Electronica; Funk; Rap; Dance; Pop; House; Infantil; Forró
Deu Pra Ti,"Deu pra ti. Baixo astral. Vou pra Porto Alegre. Tchau. Deu pra ti. Baixo astral. Vou pra Porto Alegre. Tchau. Quando eu ando assim meio down. Vou pra Porto e... bah!, tri legal. Coisas de magia, sei lá. Paralelo 30. Alô tchurma do Bonfim. As guria tão tri afim. Garopaba ou Bar João. Beladona e chimarrão. Que saudade da Redenção. Do Fogaça e do Falcão. Cobertor de orelha pro frio. E a galera no Beira Rio.",Kleiton e Kledir,78,1.1,Pop,MPB; Pop; Regional; Jovem Guarda; Bossa Nova; Clássico; Gospel/Religioso; Músicas Gaúchas; Funk; Dance
A Gente Não Se Aguenta,"Achei que ia te deixar no canto. Varrer você pra debaixo do tapete. Eu que já tava fazendo outros planos. Meu celular não tem você no papel de parede. Não foi bem assim. Eu me enganei, tava bem longe do fim. Não foi bem assim. Você me desmontou sorriu de novo pra mim. A gente não se aguenta. Mas a gente não aguenta ficar longe um do outro. Vontade foi lá em cima. A sua boca tem um ímã e vai colar de novo. E a cama pega fogo. E é sempre o mesmo jogo. Assim que é gostoso",Marília Mendonça,82,36.2,Sertanejo,Sertanejo; Forró; Funk; Romântico; Funk Carioca; Country; Axé; MPB; Electro Swing; Black Music; Bossa Nova; Rock; Pop; Rap; Electronica; Gospel/Religioso; Samba; House; Trilha Sonora; Dance; Industrial; World Music; Músicas Gaúchas; Blues; Pop/Rock; Disco; Samba Enredo; Reggae; Ska; Regional; K-Pop/K-Rock; Trip-Hop; Reggaeton
Aviso Aos Navegantes,"Se existe alguém na linha. Se tem alguém no ar. Por favor responda agora. Não me faça esperar. Há uma certa urgência. Alô, informação?. Aqui sou eu sozinho. Do outro lado não sei não. Instalei uma antena. E lancei um sinal. Nada no radar. Procuro no dial. Aviso aos navegantes. Tem mais alguém ai?. Só ouço o som da minha própria voz. A repetir, oh!. S. O. S. solidão. Oooo.... S. O. S. solidão. Oooo.... Se existe alguém na linha. Se tem alguém no ar. Por favor responda agora. Não me faça esperar. Há uma certa urgência. Alô, informação?. Aqui sou eu sozinho. Do outro lado não sei não. Instalei uma antena. E lancei um sinal. Nada no radar. Procuro no dial. Aviso aos navegantes. Tem mais alguém ai?. Só ouço o som da minha própria voz. A repetir, oh!. S. O. S. solidão. Oooo.... S. O. S. solidão. Oooo...",Lulu Santos,271,10,Rock,Pop/Rock; Rock; Pop; MPB; Dance; Electronica; Romântico; Funk; Black Music; Gospel/Religioso; Rap; Funk Carioca; K-Pop/K-Rock; House; Disco; Surf Music; Axé; Soul Music; Reggae
Minha Menina,"Eu tenho sol em um dia nublado.. Quando ele é frio fora eu tenho o mês de maio.. Pois bem, eu suponho que você diga.. O que pode fazer-me sentir dessa maneira?. Minha menina. Conversando sobre minha menina. Minha Menina. Eu tenho tanto mel às abelhas me invejam.. Eu tenho uma doce canção do que as aves a partir de árvores.. Eu acho que você poderia dizer. O que pode fazer-me sentir dessa maneira?. Minha menina. Conversando sobre minha menina. Minha menina. Conversando sobre minha menina. Conversando sobre minha menina. Minha menina. Eu tenho sol em um dia nublado.. Quando ele é frio fora eu tenho o mês de maio.. Pois bem, eu suponho que você diga. O que pode fazer-me sentir dessa maneira?. Minha menina. Conversando sobre minha menina. Minha menina. Conversando sobre minha menina. Conversando sobre minha menina. Minha menina",Tiago Iorc,62,13.3,Pop,Pop; Romântico; Pop/Rock; Trilha Sonora; MPB; Folk; Indie; World Music; Forró; Jazz; Industrial; Metal; Dance; Gospel/Religioso; Tropical House; Rock; Chillout; Sertanejo; Country; Rock Alternativo; Bossa Nova
O Gato,"Com um lindo salto. Leve e seguro. O gato passa. Do chão ao muro. Logo mudando. De opinião. Passa de novo. Do muro ao chão. E pisa e passa. Cuidadoso, de mansinho. Pega e corre, silencioso. Atrás de um pobre passarinho. E logo pára. Como assombrado. Depois dispara. Pula de lado. Se num novelo. Fica enroscado. Ouriça o pêlo. Mal humorado. Um preguiçoso. É o que ele é. E gosta muito. De cafuné. Com um lindo salto. Leve e seguro. O gato passa. Do chão ao muro. Logo mudando. De opinião. Passa de novo. Do muro ao chão. E pisa e passa. Cuidadoso, de mansinho. Pega e corre, silencioso. Atrás de um pobre passarinho. E logo pára. Como assombrado. Depois dispara. Pula de lado. E quando à noite. vem a fadiga. Toma seu banho. Passando a língua. Pela barriga.",Marina Lima,187,1.7,Pop,Pop; MPB; Romântico; Pop/Rock; Chillout; Blues; Post-Rock; Trip-Hop; Power-Pop; Rock
Me Escondendo de Você,"Se eu te encontrar por aí. Finja que não me conhece. Nem pense em me ligar. O nosso amor é passado. Assunto complicado. Não deu mais para continuar. Você vacilou, machucou meu coração. Faz de conta que eu não existo. E vai atrás de outra paixão. Eu sei, vai ser difícil te esquecer. Mas acho que é melhor desaparecer. Como a noite faz o sol se esconder. Eu vivo me escondendo de você. Eu sei, vai ser difícil te esquecer. Mas acho que é melhor desaparecer. Como a noite faz o sol se esconder. Eu vivo me escondendo de você",Israel & Rodolffo,148,4,Sertanejo,Sertanejo
Rádio Pirata,"Abordar navios mercantes. Invadir, pilhar, tomar o que é nosso. Pirataria nas ondas do rádio. Havia alguma coisa errada com o rei. Preparar a nossa invasão. E fazer justiça com as próprias mãos. Dinamitar um paiol de bobagens. E navegar o mar da tranquilidade. Toquem o meu coração. Façam a revolução. Que está no ar, nas ondas do rádio. No submundo repousa o repúdio. E deve despertar. Disputar em cada freqüência. Um espaço nosso nessa decadência. Canções de guerra, quem sabe canções do mar. Canções de amor ao que vai vingar. Toquem o meu coração. Façam a revolução. Que está no ar, nas ondas do rádio. No underground repousa o repúdio. E deve despertar",RPM,64,1.9,Rock,Rock; Pop/Rock; Rock Alternativo; Pop; Hard Rock; MPB; Infantil; Gospel/Religioso; Soul Music; Clássico; Progressivo
Gatinha X Cachorra,Vamos fazer um ensaio com as gatinhas. Para ver se elas estão preparadas. Por favor só as preparadas. Quando eu falar cachorra: au au. Quando eu falar gatinha: miau. A parada é essa. Então é mais ou menos assim. Refrão:. Cachorra au au. Gatinha miau (8x). Vamos fazer um ensaio com as gatinhas. Para ver se elas estão preparadas. Por favor só as preparadas. Quando eu falar cachorra: au au. Quando eu falar gatinha: miau. A parada é essa. Então é mais ou menos assim. Refrão:. Cachorra au au. Gatinha miau (8x),Furacão 2000,57,2.8,Hip Hop,Funk Carioca; Axé; Hip Hop; Rap; Dance; Funk; New Age; Pop; Folk; MPB; Hard Rock
Pixote,"Criança é paz,ternura,é o doce sabor. É uma planta,. Criança é o fruto de uma dor.. Não há contratempo,nem chuva,nem vento. É um ser de luz que desponta. Que eterniza a lembrança pra vida.. Quisera ser um jurado. Pra condenar o mal com amor.. Fazer de todo curumin. A flor mais bela do jardim. Canção gostosa pra ninar. E com sorriso despertar. Esse pingo de gente. Meu pixote inocente. Sentimento no ar.",Zeca Pagodinho,309,13.2,Samba,Samba; Pagode; Bossa Nova; MPB; Jovem Guarda; Black Music; Chillout; Electronica; Axé; Funk; Trilha Sonora; Emocore; Country; Trance; Kizomba; Pop/Rock; Pop; Velha Guarda; Samba Enredo; Reggae; Sertanejo; Gospel/Religioso; Funk Carioca; Dance
Mille Braccia (traduçâo),"Pode nevar nesta estrada. se imaginar na sua mente. se sua casa é uma cabana. de madeira e folhas. sentirá o ar da manhã. que é de insenso e de flores. e se verá em um menino. que persegue uma libélula. jogando seus braços. pro céu. como sinal de liberdade. do direito natural que todo. homem tem. sentindo no seu rosto um vento. novo. um insinto que não acaba. exigencia que hoje provo. e que grita agora. em liberdade. até o inverno iluminará. se teus pensamentos navegam. se te permitem transportar. outro mal de que se livra. outro muro de frustrações. sem voz e sem música. Erguendo mil braços para o céu. como simbolo de liberdade. do direito de sonhar que todo homem possue. sentindo no seu rosto um vento novo. uma nova possibilidade. uma exigencia de agarrar um renascer. que grita ""já"". um outro caminho. agora será. a única alternativa. de ser hoje. em liberdade. cada centimetro da sua alma. livremente alçando. um outro caminho agora será. a única alternativa. de ser hoje. em liberdade. cada centimetro da alma. com toda a alma.. . By: Felipe Reis",Laura Pausini,405,9.4,Pop,Romântico; Pop; Pop/Rock; Trilha Sonora; Clássico; World Music; Piano Rock; Forró; Electronica
Acelerado,"Tô acelerado, tô que tô mas sou sincero. Isso não é, nenhum mistério. Tenho que aprender controlar meu coração. Pra no fim de semana não ficar na solidão. Segunda-feira me liga a mais danada. Meu dia de folga e ela quer fazer balada. Na terça-feira me liga a mais quietinha. Deixo tudo armado, jantarzinho e cineminha. Na quarta-feira recado da gatinha. Que pede pra mais tarde eu dar uma ligadinha. Na quinta-feira é o fim, aí já era. Volto pro trabalho, e é aí que eu penso nelas. É que o coração é grande, dá pra dividir. Fico com saudades quando não lembram de mim. Meu fim de semana quase sempre é assim. Eu pensando nelas, e elas tão longe de mim",Turma do Pagode,182,11.7,Samba,Romântico; Pagode; Samba; Sertanejo; Funk Carioca; Instrumental; Forró; Black Music; Axé; Funk; Fado; R&B; Pop/Punk; Blues; Gospel/Religioso; Electronica; Reggae; Rap; Emocore
Lacradora (Feat. Maiara & Maraisa),"Make ok, salto ok. Cabelo também, é. Tamo na luta!. Sorriso e amor próprio já ajudam. Tudo bem. Hoje tem. Look bafo. Autoestima lá no alto. Eu não sou fácil. Eu nunca prestei. Eu dou trabalho mesmo. Quem disse que eu sou santa?. Tá procurando paz. Namore a pomba branca. Não provoca, não. E viva a curtição!. Copo na mão. E as inimigas no chão. Copo na mão. E as inimigas no chão. Claudinha lacradora. Dando nas recalcadas. Enquanto a gente brinda. Elas tomam pisão. Copo na mão. E as inimigas no chão. Copo na mão. E as inimigas no chão. Claudinha lacradora. Dando nas recalcadas. Enquanto a gente brinda. Elas tomam pisão. (Maiara & Maraisa). Make ok, salto ok. Cabelo também. (Tudo pronto, vai). Tamo na luta!. Sorriso e amor próprio já ajudam. Tudo bem. Hoje tem. Look bafo. Autoestima lá no alto. Eu não sou fácil. Eu nunca prestei. Eu dou trabalho mesmo. Quem disse que eu sou santa?. Tá procurando paz. Namore a pomba branca. Não provoca, não. E viva a curtição!. Provoco o seu desejo. O meu jeito maluca. Lá vem chuva de lacre. Prepara o guarda-chuva!. Muita fechação. E viva a curtição. (Pra cima, Claudinha, vai). Copo na mão. E as inimigas no chão. Copo na mão. E as inimigas no chão. Claudinha lacradora. Dando nas recalcadas. Enquanto a gente brinda. Elas tomam pisão. Copo na mão. E as inimigas no chão. Copo na mão. E as inimigas no chão. Maiara & Maraisa. Dando nas recalcadas. Enquanto a gente brinda. Elas tomam pisão. Brinda, lacradora, brinda aê!. Ninguém vai me parar, eu vou continuar. Brinda, lacradora, brinda aê!. Eu vou fazer aquilo que eu sempre quis. Brinda, lacradora, brinda aê!. Espere a contagem pra fazer o brinde. Brinda, lacradora, brinda aê!. Saúde às lacradoras do país. Cheers!. 1, 2, 3 vai. Copo na mão. E as inimigas no chão. Copo na mão. E as inimigas no chão. Claudinha lacradora. Dando nas recalcadas. Enquanto a gente brinda. Elas tomam pisão. Copo na mão. E as inimigas no chão. Copo na mão. E as inimigas no chão. Maiara & Maraisa. Dando nas recalcadas. Enquanto a gente brinda. Elas tomam pisão. Pisa menos, Claudinha. É",Claudia Leitte,146,5.3,Pop,Pop; Axé; Romântico; Samba; Trilha Sonora; MPB; Pop/Rock; Black Music; Funk; Dance; Forró; Electronica; Funk Carioca; Sertanejo; Gospel/Religioso; Heavy Metal; World Music; Blues; Instrumental; Electro Swing; House; Power-Pop; Folk; Grunge; Hip Hop; Pagode; Infantil; Rock; Jovem Guarda; Jazz; Punk Rock; Piano Rock; New Wave; Ska; Soul Music; Tecnopop; Disco; Bossa Nova; Reggae; Hardcore; Rap; Country; Clássico
Aleluia,"""Pai, estou aqui só pra dizer que eu te amo muito. Pai, diante de Ti quero entregar o meu louvor. Como oferta de amor. Aleluia, aleluia, recebe toda minha adoração. Aleluia, aleluia, te amo, oh Deus, de todo coração. Esse amor é mais profundo que o mar. Sei que nada poderá nos separar.""",Pamela,131,1.3,Pop,Romântico; Gospel/Religioso; Pop; Trilha Sonora; Instrumental; Clássico; Infantil; Axé; Black Music; Sertanejo; Post-Rock; Rock; Funk; Grunge; Blues; J-Pop/J-Rock; Bossa Nova; Piano Rock; Rap; Gótico; World Music; Pagode; Dance; MPB
Acabou,"É nega... tava mexendo na gaveta. Achei seu brinco de argola e aquela presilha preta,. maldita presilha preta que me fez lembrar. tava arrumando a minha vida mas tô doido ""procê"" bagunçar. ""mó"" jeito de menina moça. volta a fazer o meu feijão que agora eu prometo que eu lavo a louça.... Pra você... Pra tudo ficar bem... Pra tudo ficar zen. Pra tu não ficar sem me chamar de meu bem. eu ficava te olhando na pista. 99% de perfeição, só faltou ser santista. eu sei que eu sou mala sem alça. só que você também às vezes é mais folgada que as minhas calças, pô.. A culpa não é minha, nem é sua, sem problema.... Já que é rap, vamos por a culpa no sistema.. Num deve haver rancor, onde já se teve amor,. Então jura que cê rega todo dia a flor que eu te dei?. Foi bom enquanto durou,. E durou enquanto tava sendo bom,. Mas acabou, desculpa aí mas acabou.... Seu nego não tá mais debaixo do seu edredom. É fia foi bom enquanto durou,. E durou enquanto tava sendo bom,. Mas acabou, desculpa aí mas acabou.... Seu nego não tá mais debaixo do seu edredom. A gente nunca teve uma música só nossa. daquela que toca, faz lembrar e te deixa na fossa.. Mas agora vários casal vão curtir esse som. Porque cê não me rendeu casamento, mas tá me rendeno um rap bom.. É fia... Tu virou letra de rap,. Imortalizada pela minha voz entre os ""clap"". Tô no mesmo CEP quando se cê quiser me procurar. mas num garanto nada se eu já num vou tá acompanhado por lá.. Daí cê vai bater na porta pra dizer. Que me ama, que me quer, mas outra mina é que vai te atender. Cê vai me ver vindo lá no escuro. Vou abraçar ela por trás e vou dizer: 'Hoje num tem pão duro!'. Num é que eu quero que cê saiba o que vai ser,. Eu quero só que cê saiba que vai ser da hora quando a gente tiver junto fia,. E quando cê me ver, dizer que não vai mais me ver. E vai sofrer, num vem tenta mudar de assunto firmão!. Foi bom enquanto durou. E durou enquanto tava sendo bom. Mas acabou, desculpa aí mas acabou. Seu nego não tá mais debaixo do seu edredom.... É fia foi bom enquanto durou,. E durou enquanto tava sendo bom,. Mas acabou, desculpa aí mas acabou.... Seu nego não tá mais debaixo do seu edredom. Vivi por 20 anos sem saber que cê existia. Mas depois de perder você é difícil viver por 20 dias. Agora quem vai me trazer paz e sossego?. Quem vai deixar de lado o Projota pra me chamar de ""Meu Nego""?. Eu no melhor estilo vagabundo.... Sou muito preguiçoso pra ir ver se tem alguém melhor no mundo.. E as outra mina ficam ""puta"". Porque você ganhou a luta delas mesmo sem nem ter entrado na disputa.. Mas cê tá sempre complicando.. Pra se envolver contigo o cara tem que ter coração de corinthiano. Sofredor... de sentimento socredor. Se cê num quer, falou, tô saindo, já vou!. Levo na mala minhas roupas e nossas fotos de recordação.. Me arranja aí 2 e 30 pra condução,. E eu queria terminar com a rima mais pesada,. Mas se eu num posso dizer que eu te amo eu prefiro não dizer nada!. Foi bom enquanto durou. E durou enquanto estava sendo bom. Mas acabou, desculpa aê mas acabo. Seu nego não ta mais em baixo do seu edredom. É fia foi bom enquanto durou,. E durou enquanto tava sendo bom,. Mas acabou, desculpa aí mas acabou.... Seu nego num tá mais debaixo do seu edredom",Projota,138,15.7,Hip Hop,Hip Hop; Rap; Romântico; Funk; Pop; Reggae; Black Music; Electronica; Funk Carioca; R&B; Folk; Soft Rock; Clássico; Trip-Hop; Rock; Pagode; MPB; Pop/Rock; Axé; Psicodelia; Disco; Blues; Soul Music; Samba; Sertanejo; Hard Rock; Post-Rock; Kizomba; Industrial; Classic Rock; Progressivo; Grunge; Instrumental; World Music; J-Pop/J-Rock; Dance; House; Jazz; Gospel/Religioso
